Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C36, C4",0805,3,10u,
"C10, C8",0603,2,1u,
"C11, C12, C13, C14, C15, C16, C17, C20, C21, C28, C29, C30, C31, C32, C51, C6, C7, C9",0603,18,100n,
C18,CAPAE830X1050N,1,100u,
C19,1206,1,10u,
"C2, C3",0603,2,15p,
C22,0603,1,4.7u,
"C23, C25, C26, C27",0603,4,1n,
C24,0603,1,22n,
"C33, C34",0603,2,22u,
C35,0603,1,10u,
C5,0603,1,C,
D1,SOT-323_SC-70_Handsoldering,1,BAV99W,
"D2, D5",0603,2,LED,
"D3, D4",0603,2,SK310A-TP,
D6,D_SOD-523,1,BAT54KFILM,
D7,SOT-323_SC-70,1,BAV99W,
IC1,AP63205WU7,1,AP63205WU-7,
J1,USB421603A,1,USB4216-03-A,
"J10, J2, J9",PinHeader_1x02_P2.54mm_Vertical,3,Conn_01x02,
J11,PinSocket_2x20_P2.54mm_Vertical,1,Conn_02x20_Odd_Even,
J3,SHDR4W97P0X254_1X4_1271X660X1143P,1,Conn_01x04,
J4,SHDR2W99P0X500_1X2_1001X762X1001P,1,8718,
"J5, J6",SHDR2W64P0X254_1X2_737X660X1181P,2,Conn_01x02,
J7,SHDR2W99P0X500_1X2_1001X762X1001P,1,Conn_01x02,
J8,RHDR3W64P0X254_1X3_1017X660X1194P,1,Conn_01x03,
"L1, L2, L3, L4, L5",0603,5,BLM18KG121TN1D,
L6,L_APV_APH0530,1,6.8u,
Q1,TO-220-3_Horizontal_TabDown,1,IRLZ34NPBF,
Q2,SOT-23-3,1,SI2342DS-T1-BE3,
"R1, R10, R5",0603,3,1k,
"R11, R14, R15",0603,3,4k7,
"R12, R13",0603,2,2k37,
R16,0603,1,10k,
"R17, R19",0603,2,100k,
R18,0603,1,2k2,
R2,0603,1,DNF,
"R20, R21",0603,2,1k8,
"R3, R4",0603,2,27.4,
"R6, R7",1206,2,22mili,
"R8, R9",0603,2,5k1,
TH1,0402,1,NTCG104LH104JTDS,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U4,VQFN-28-1EP_5x5mm_P0.5mm_EP3.7x3.7mm_ThermalVias,1,TMC2209-LA,
Y1,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,ABM8-272-T3,
