Designator,Mid X,Mid Y,Rotation,Layer
C1,185.0,-38.25,0.0,top
C10,183.5,-51.25,90.0,top
C11,173.25,-56.75,180.0,top
C12,184.0,-64.4,270.0,top
C13,172.75,-60.5,180.0,top
C14,180.0,-67.5,270.0,top
C15,185.6,-56.0,0.0,top
C16,184.4,-54.2,0.0,top
C17,157.36,-45.53,90.0,top
C18,155.6,-33.8,180.0,top
C19,155.61,-48.53,180.0,top
C2,177.25,-70.5,0.0,top
C20,165.14,-36.23,0.0,top
C21,162.66,-51.53,90.0,top
C22,164.66,-51.53,270.0,top
C23,147.16,-46.28,0.0,top
C24,160.66,-51.53,90.0,top
C25,147.16,-43.28,0.0,top
C26,147.16,-49.28,0.0,top
C27,147.16,-52.28,0.0,top
C28,150.8,-42.2,270.0,top
C29,153.91,-42.03,180.0,top
C3,181.25,-70.5,180.0,top
C30,154.86,-46.28,180.0,top
C31,150.2,-70.4,180.0,top
C32,166.5,-51.5,90.0,top
C33,160.45,-61.0,90.0,top
C34,162.25,-61.0,90.0,top
C35,163.0,-56.75,270.0,top
C36,169.2,-31.57,0.0,top
C4,185.6,-51.2,90.0,top
C5,175.5,-41.0,180.0,top
C51,152.2,-58.8,90.0,top
C6,176.0,-51.25,90.0,top
C7,181.75,-67.5,270.0,top
C8,182.0,-51.25,90.0,top
C9,177.5,-51.25,90.0,top
D1,154.0,-66.6,90.0,top
D2,146.975,-76.7,180.0,top
D3,147.0,-75.1,0.0,top
D4,150.75,-56.0,0.0,top
D5,150.75,-52.5,0.0,top
D6,152.2,-62.0,270.0,top
D7,154.4,-57.2,90.0,top
IC1,166.75,-55.75,270.0,top
J1,179.5,-32.463,180.0,top
J10,148.205,-63.4,270.0,top
J11,190.63,-54.65,0.0,top
J2,171.98,-38.5,270.0,top
J3,142.17,-47.03,90.0,top
J4,144.5,-35.4,180.0,top
J5,142.11,-69.0,90.0,top
J6,142.11,-77.0,90.0,top
J7,160.735,-68.25,0.0,top
J8,142.25,-59.54,90.0,top
J9,148.195,-59.8,90.0,top
L1,147.16,-44.78,180.0,top
L2,147.16,-41.78,0.0,top
L3,147.16,-47.78,180.0,top
L4,147.16,-50.78,180.0,top
L5,146.8,-66.2,0.0,top
L6,166.75,-61.25,180.0,top
Q1,160.725,-77.75,270.0,top
Q2,147.25,-55.5,90.0,top
R1,167.75,-40.25,270.0,top
R10,171.6,-54.2,180.0,top
R11,146.8,-70.4,0.0,top
R12,150.2,-68.2,180.0,top
R13,146.8,-68.2,180.0,top
R14,186.5,-58.6625,90.0,top
R15,186.5,-62.0,90.0,top
R16,146.9875,-78.3,180.0,top
R17,147.0,-79.9,180.0,top
R18,153.25,-53.5,270.0,top
R19,150.75,-54.25,0.0,top
R2,171.25,-41.25,180.0,top
R20,154.0,-61.8,90.0,top
R21,155.8,-61.8,270.0,top
R3,179.0,-51.25,270.0,top
R4,180.5,-51.25,270.0,top
R5,178.25,-67.5,90.0,top
R6,154.16,-40.03,180.0,top
R7,154.11,-44.03,180.0,top
R8,176.75,-38.25,270.0,top
R9,181.0,-38.25,90.0,top
TH1,166.8,-44.1025,90.0,top
U1,179.5,-59.5,90.0,top
U2,183.75,-44.5,90.0,top
U3,172.5,-45.25,270.0,top
U4,162.41,-41.78,90.0,top
Y1,179.25,-73.25,0.0,top
